application_id,credit_score,credit_rating,total_debt,monthly_obligations,credit_utilization,payment_history,accounts,inquiries,defaults
APP-2024-0011,835,Excellent,57767,3566.4278134763763,41,94,"[{'type': 'Credit Card', 'balance': 11123, 'limit': 23866, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 44897, 'original_amount': 52925, 'status': 'Current'}]",5,[]
APP-2024-0012,541,Poor,181812,13122.12212107969,22,83,"[{'type': 'Credit Card', 'balance': 16957, 'limit': 30743, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 65553, 'original_amount': 72452, 'status': 'Late 30 days'}]",1,"[{'amount': 23107, 'date': '2023-03-15'}]"
APP-2024-0013,785,Very Good,117168,3694.5400220731203,56,85,"[{'type': 'Credit Card', 'balance': 20180, 'limit': 38248, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 27354, 'original_amount': 53811, 'status': 'Current'}]",0,[]
APP-2024-0014,695,Fair,15723,462.33420381500383,36,75,"[{'type': 'Credit Card', 'balance': 2220, 'limit': 29267, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 74921, 'original_amount': 75926, 'status': 'Late 30 days'}]",4,[]
APP-2024-0015,726,Good,25885,1720.444862168494,61,70,"[{'type': 'Credit Card', 'balance': 12898, 'limit': 30434, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 3894, 'original_amount': 53260, 'status': 'Current'}]",3,[]
APP-2024-0016,621,Poor,52322,1579.8885961106578,25,89,"[{'type': 'Credit Card', 'balance': 11205, 'limit': 32900, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 44206, 'original_amount': 59407, 'status': 'Late 30 days'}]",4,[]
APP-2024-0017,524,Poor,178470,11236.591553221426,27,76,"[{'type': 'Credit Card', 'balance': 20274, 'limit': 22410, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 13132, 'original_amount': 96278, 'status': 'Current'}]",3,"[{'amount': 11573, 'date': '2023-03-15'}]"
APP-2024-0018,735,Good,43029,3262.9532323694984,11,78,"[{'type': 'Credit Card', 'balance': 10753, 'limit': 47791, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 43069, 'original_amount': 87719, 'status': 'Current'}]",0,[]
APP-2024-0019,773,Very Good,31008,1898.0313671451966,10,93,"[{'type': 'Credit Card', 'balance': 5464, 'limit': 20829, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 60555, 'original_amount': 60990, 'status': 'Current'}]",4,[]
APP-2024-0020,687,Fair,140552,3319.502117621687,40,100,"[{'type': 'Credit Card', 'balance': 19638, 'limit': 36480, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 50291, 'original_amount': 53182, 'status': 'Late 30 days'}]",5,[]
APP-2024-0021,620,Poor,168730,11546.388581799996,12,89,"[{'type': 'Credit Card', 'balance': 8025, 'limit': 19325, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 32235, 'original_amount': 99371, 'status': 'Current'}]",3,[]
APP-2024-0022,771,Very Good,164624,12311.262528097093,73,84,"[{'type': 'Credit Card', 'balance': 312, 'limit': 39500, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 17908, 'original_amount': 68220, 'status': 'Current'}]",5,[]
APP-2024-0023,711,Good,70279,2218.4375853335596,62,93,"[{'type': 'Credit Card', 'balance': 2762, 'limit': 21450, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 34565, 'original_amount': 76641, 'status': 'Current'}]",5,[]
APP-2024-0024,506,Poor,149557,8469.206678045965,77,99,"[{'type': 'Credit Card', 'balance': 552, 'limit': 39258, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 39446, 'original_amount': 50699, 'status': 'Late 30 days'}]",5,"[{'amount': 18590, 'date': '2023-03-15'}]"
APP-2024-0025,610,Poor,68143,2440.7938433380677,43,87,"[{'type': 'Credit Card', 'balance': 1149, 'limit': 18079, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 12984, 'original_amount': 60403, 'status': 'Late 30 days'}]",3,[]
APP-2024-0026,633,Poor,136598,5814.575711790899,20,75,"[{'type': 'Credit Card', 'balance': 10716, 'limit': 18389, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 31691, 'original_amount': 91105, 'status': 'Current'}]",5,[]
APP-2024-0027,682,Fair,176098,13566.400800276888,82,87,"[{'type': 'Credit Card', 'balance': 15111, 'limit': 15991, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 4236, 'original_amount': 81114, 'status': 'Late 30 days'}]",4,[]
APP-2024-0028,608,Poor,86251,4813.0511672217435,67,99,"[{'type': 'Credit Card', 'balance': 21726, 'limit': 34290, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 50597, 'original_amount': 92099, 'status': 'Current'}]",2,[]
APP-2024-0029,532,Poor,72219,5653.975687655631,56,81,"[{'type': 'Credit Card', 'balance': 22253, 'limit': 37829, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 37482, 'original_amount': 64203, 'status': 'Current'}]",5,"[{'amount': 18230, 'date': '2023-03-15'}]"
APP-2024-0030,822,Excellent,183815,14199.977818225021,76,85,"[{'type': 'Credit Card', 'balance': 12322, 'limit': 39217, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 31684, 'original_amount': 58413, 'status': 'Current'}]",0,[]
APP-2024-0031,710,Good,131473,6839.60946125529,49,97,"[{'type': 'Credit Card', 'balance': 17472, 'limit': 34019, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 30011, 'original_amount': 70901, 'status': 'Current'}]",5,[]
APP-2024-0032,675,Fair,95062,7564.760463267459,23,80,"[{'type': 'Credit Card', 'balance': 12168, 'limit': 31502, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 15356, 'original_amount': 55716, 'status': 'Current'}]",1,[]
APP-2024-0033,507,Poor,173178,8001.622519494023,41,90,"[{'type': 'Credit Card', 'balance': 11845, 'limit': 28394, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 44453, 'original_amount': 64551, 'status': 'Current'}]",0,"[{'amount': 12314, 'date': '2023-03-15'}]"
APP-2024-0034,646,Poor,56297,3519.94019418085,42,82,"[{'type': 'Credit Card', 'balance': 3463, 'limit': 44612, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 51047, 'original_amount': 61008, 'status': 'Current'}]",3,[]
APP-2024-0035,733,Good,94037,2341.1804875243233,18,94,"[{'type': 'Credit Card', 'balance': 1127, 'limit': 25341, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 18927, 'original_amount': 58433, 'status': 'Late 30 days'}]",5,[]
APP-2024-0036,808,Excellent,80798,2955.7009176560027,51,97,"[{'type': 'Credit Card', 'balance': 20646, 'limit': 30159, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 14723, 'original_amount': 78946, 'status': 'Late 30 days'}]",3,[]
APP-2024-0037,555,Poor,59458,1200.5484866040917,32,81,"[{'type': 'Credit Card', 'balance': 1814, 'limit': 43514, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 41944, 'original_amount': 51020, 'status': 'Current'}]",2,"[{'amount': 23368, 'date': '2023-03-15'}]"
APP-2024-0038,719,Good,15122,1022.5558570543053,20,93,"[{'type': 'Credit Card', 'balance': 1845, 'limit': 26728, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 69520, 'original_amount': 86915, 'status': 'Current'}]",3,[]
APP-2024-0039,726,Good,55466,2038.0601162632636,81,92,"[{'type': 'Credit Card', 'balance': 8069, 'limit': 48830, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 44655, 'original_amount': 70749, 'status': 'Late 30 days'}]",0,[]
APP-2024-0040,701,Good,87131,5621.91207796767,10,83,"[{'type': 'Credit Card', 'balance': 23755, 'limit': 30128, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 55495, 'original_amount': 88973, 'status': 'Late 30 days'}]",5,[]
APP-2024-0041,628,Poor,51120,1989.1787394689445,42,96,"[{'type': 'Credit Card', 'balance': 21870, 'limit': 45409, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 22327, 'original_amount': 87672, 'status': 'Late 30 days'}]",2,[]
APP-2024-0042,556,Poor,105250,3220.3148644582143,32,77,"[{'type': 'Credit Card', 'balance': 16220, 'limit': 34696, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 72224, 'original_amount': 62723, 'status': 'Current'}]",3,"[{'amount': 5806, 'date': '2023-03-15'}]"
APP-2024-0043,609,Poor,77027,2258.195535155599,68,70,"[{'type': 'Credit Card', 'balance': 3504, 'limit': 23678, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 63294, 'original_amount': 90284, 'status': 'Current'}]",5,[]
APP-2024-0044,623,Poor,50797,3714.8174430990107,52,96,"[{'type': 'Credit Card', 'balance': 16008, 'limit': 23440, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 12482, 'original_amount': 64026, 'status': 'Current'}]",4,[]
APP-2024-0045,519,Poor,64356,2295.2996079880254,41,88,"[{'type': 'Credit Card', 'balance': 20699, 'limit': 45854, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 58305, 'original_amount': 55474, 'status': 'Current'}]",1,"[{'amount': 21230, 'date': '2023-03-15'}]"
APP-2024-0046,587,Poor,194152,6510.022115922576,75,97,"[{'type': 'Credit Card', 'balance': 9561, 'limit': 42245, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 54895, 'original_amount': 93217, 'status': 'Late 30 days'}]",2,"[{'amount': 20433, 'date': '2023-03-15'}]"
APP-2024-0047,701,Good,125097,4216.559135610182,68,100,"[{'type': 'Credit Card', 'balance': 13705, 'limit': 13151, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 64115, 'original_amount': 62858, 'status': 'Current'}]",2,[]
APP-2024-0048,635,Poor,149352,8402.918068003704,65,92,"[{'type': 'Credit Card', 'balance': 17421, 'limit': 36443, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 45223, 'original_amount': 52649, 'status': 'Late 30 days'}]",5,[]
APP-2024-0049,641,Poor,131915,4379.729081318466,68,91,"[{'type': 'Credit Card', 'balance': 17975, 'limit': 36888, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 45653, 'original_amount': 97888, 'status': 'Current'}]",3,[]
APP-2024-0050,621,Poor,84035,6088.001118614633,76,70,"[{'type': 'Credit Card', 'balance': 9335, 'limit': 48823, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 42564, 'original_amount': 85586, 'status': 'Late 30 days'}]",2,[]
APP-2024-0051,583,Poor,118857,3996.899155115702,12,82,"[{'type': 'Credit Card', 'balance': 20946, 'limit': 15566, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 28673, 'original_amount': 96637, 'status': 'Current'}]",4,"[{'amount': 11319, 'date': '2023-03-15'}]"
APP-2024-0052,582,Poor,58786,1398.3942218520317,71,91,"[{'type': 'Credit Card', 'balance': 24304, 'limit': 47837, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 3580, 'original_amount': 77400, 'status': 'Current'}]",2,"[{'amount': 20558, 'date': '2023-03-15'}]"
APP-2024-0053,695,Fair,88445,2852.0441018139363,82,75,"[{'type': 'Credit Card', 'balance': 16011, 'limit': 13976, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 59118, 'original_amount': 54500, 'status': 'Late 30 days'}]",3,[]
APP-2024-0054,769,Very Good,88607,6040.160151801243,77,97,"[{'type': 'Credit Card', 'balance': 18443, 'limit': 48157, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 70853, 'original_amount': 72689, 'status': 'Current'}]",0,[]
APP-2024-0055,782,Very Good,131953,5795.311124917505,31,80,"[{'type': 'Credit Card', 'balance': 4233, 'limit': 40579, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 9663, 'original_amount': 64237, 'status': 'Late 30 days'}]",4,[]
APP-2024-0056,534,Poor,99627,2554.358411295274,61,94,"[{'type': 'Credit Card', 'balance': 12867, 'limit': 25604, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 27162, 'original_amount': 59513, 'status': 'Late 30 days'}]",0,"[{'amount': 12786, 'date': '2023-03-15'}]"
APP-2024-0057,792,Very Good,106332,6147.414192493093,24,83,"[{'type': 'Credit Card', 'balance': 11704, 'limit': 18813, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 24721, 'original_amount': 94077, 'status': 'Late 30 days'}]",2,[]
APP-2024-0058,640,Poor,166330,12783.18192453112,78,87,"[{'type': 'Credit Card', 'balance': 6518, 'limit': 14665, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 12156, 'original_amount': 88067, 'status': 'Current'}]",1,[]
APP-2024-0059,712,Good,85007,3107.9614727074013,28,81,"[{'type': 'Credit Card', 'balance': 6627, 'limit': 18847, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 58620, 'original_amount': 58139, 'status': 'Current'}]",1,[]
APP-2024-0060,625,Poor,9290,589.7921997964943,44,81,"[{'type': 'Credit Card', 'balance': 6494, 'limit': 20266, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 16499, 'original_amount': 84792, 'status': 'Current'}]",4,[]
APP-2024-0061,763,Very Good,69803,3516.332682492503,45,77,"[{'type': 'Credit Card', 'balance': 1543, 'limit': 25840, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 10166, 'original_amount': 65828, 'status': 'Current'}]",2,[]
APP-2024-0062,644,Poor,102959,5144.766974050449,77,72,"[{'type': 'Credit Card', 'balance': 10604, 'limit': 27510, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 50970, 'original_amount': 68139, 'status': 'Current'}]",2,[]
APP-2024-0063,715,Good,17728,1400.7195120355527,85,92,"[{'type': 'Credit Card', 'balance': 10610, 'limit': 45605, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 31643, 'original_amount': 71639, 'status': 'Current'}]",3,[]
APP-2024-0064,835,Excellent,111692,6595.270768940721,50,73,"[{'type': 'Credit Card', 'balance': 8617, 'limit': 14565, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 46556, 'original_amount': 83930, 'status': 'Current'}]",1,[]
APP-2024-0065,575,Poor,110871,4691.110905106617,59,98,"[{'type': 'Credit Card', 'balance': 15323, 'limit': 46716, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 26268, 'original_amount': 90184, 'status': 'Current'}]",5,"[{'amount': 24330, 'date': '2023-03-15'}]"
APP-2024-0066,623,Poor,29314,2232.104982284374,61,79,"[{'type': 'Credit Card', 'balance': 24002, 'limit': 33071, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 40795, 'original_amount': 76163, 'status': 'Current'}]",4,[]
APP-2024-0067,763,Very Good,156807,10665.292333546444,28,95,"[{'type': 'Credit Card', 'balance': 978, 'limit': 18306, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 63756, 'original_amount': 63303, 'status': 'Late 30 days'}]",3,[]
APP-2024-0068,635,Poor,2585,148.20274313144367,73,72,"[{'type': 'Credit Card', 'balance': 15050, 'limit': 14013, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 73604, 'original_amount': 94210, 'status': 'Late 30 days'}]",3,[]
APP-2024-0069,500,Poor,67702,3869.667046956337,63,85,"[{'type': 'Credit Card', 'balance': 13615, 'limit': 21151, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 20345, 'original_amount': 99127, 'status': 'Current'}]",2,"[{'amount': 11941, 'date': '2023-03-15'}]"
APP-2024-0070,587,Poor,134674,3352.3275532324124,55,95,"[{'type': 'Credit Card', 'balance': 15729, 'limit': 19982, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 67750, 'original_amount': 70529, 'status': 'Current'}]",3,"[{'amount': 9755, 'date': '2023-03-15'}]"
APP-2024-0071,651,Fair,78732,5416.260124819254,22,84,"[{'type': 'Credit Card', 'balance': 16667, 'limit': 11396, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 56726, 'original_amount': 64606, 'status': 'Current'}]",5,[]
APP-2024-0072,564,Poor,80434,4669.813913242731,75,82,"[{'type': 'Credit Card', 'balance': 21917, 'limit': 21749, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 62534, 'original_amount': 61938, 'status': 'Current'}]",1,"[{'amount': 6409, 'date': '2023-03-15'}]"
APP-2024-0073,531,Poor,23432,759.2688563767982,23,81,"[{'type': 'Credit Card', 'balance': 6138, 'limit': 36360, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 67384, 'original_amount': 99309, 'status': 'Current'}]",5,"[{'amount': 8963, 'date': '2023-03-15'}]"
APP-2024-0074,801,Excellent,77313,3438.7900982509,82,97,"[{'type': 'Credit Card', 'balance': 17967, 'limit': 15909, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 5607, 'original_amount': 99310, 'status': 'Current'}]",4,[]
APP-2024-0075,845,Excellent,86448,2545.030297469989,36,72,"[{'type': 'Credit Card', 'balance': 13504, 'limit': 48658, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 37865, 'original_amount': 87914, 'status': 'Late 30 days'}]",5,[]
APP-2024-0076,747,Good,171515,7867.308494975084,74,93,"[{'type': 'Credit Card', 'balance': 16215, 'limit': 15394, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 18894, 'original_amount': 62037, 'status': 'Late 30 days'}]",4,[]
APP-2024-0077,667,Fair,170199,9251.417547309056,69,93,"[{'type': 'Credit Card', 'balance': 9291, 'limit': 12580, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 10147, 'original_amount': 55393, 'status': 'Current'}]",1,[]
APP-2024-0078,664,Fair,6704,448.3682437976583,37,86,"[{'type': 'Credit Card', 'balance': 15160, 'limit': 30055, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 2746, 'original_amount': 54951, 'status': 'Current'}]",4,[]
APP-2024-0079,608,Poor,169748,10259.37095855122,45,75,"[{'type': 'Credit Card', 'balance': 19584, 'limit': 13986, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 19572, 'original_amount': 70973, 'status': 'Late 30 days'}]",3,[]
APP-2024-0080,591,Poor,7969,468.7528032670467,35,95,"[{'type': 'Credit Card', 'balance': 15909, 'limit': 23113, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 30227, 'original_amount': 70208, 'status': 'Late 30 days'}]",4,"[{'amount': 9838, 'date': '2023-03-15'}]"
APP-2024-0081,713,Good,61576,2861.5735104393993,28,83,"[{'type': 'Credit Card', 'balance': 3595, 'limit': 40956, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 30764, 'original_amount': 72155, 'status': 'Late 30 days'}]",3,[]
APP-2024-0082,545,Poor,199513,5759.873193501057,15,91,"[{'type': 'Credit Card', 'balance': 4164, 'limit': 35459, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 53067, 'original_amount': 73564, 'status': 'Current'}]",5,"[{'amount': 22209, 'date': '2023-03-15'}]"
APP-2024-0083,848,Excellent,88999,6487.441087348532,56,79,"[{'type': 'Credit Card', 'balance': 10569, 'limit': 36543, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 36893, 'original_amount': 70292, 'status': 'Current'}]",3,[]
APP-2024-0084,650,Fair,161871,9645.448471632058,64,78,"[{'type': 'Credit Card', 'balance': 14461, 'limit': 27318, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 12123, 'original_amount': 51696, 'status': 'Late 30 days'}]",4,[]
APP-2024-0085,808,Excellent,124035,6051.097089514732,80,100,"[{'type': 'Credit Card', 'balance': 19044, 'limit': 33551, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 51326, 'original_amount': 72772, 'status': 'Current'}]",5,[]
APP-2024-0086,620,Poor,104022,7738.486788662415,73,95,"[{'type': 'Credit Card', 'balance': 14636, 'limit': 16376, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 49973, 'original_amount': 97546, 'status': 'Late 30 days'}]",1,[]
APP-2024-0087,653,Fair,141709,9751.873956867747,67,75,"[{'type': 'Credit Card', 'balance': 4554, 'limit': 46402, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 20995, 'original_amount': 81620, 'status': 'Late 30 days'}]",1,[]
APP-2024-0088,654,Fair,69279,4446.640024095765,33,99,"[{'type': 'Credit Card', 'balance': 17072, 'limit': 10585, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 51689, 'original_amount': 57220, 'status': 'Late 30 days'}]",4,[]
APP-2024-0089,694,Fair,18353,996.066754508597,52,94,"[{'type': 'Credit Card', 'balance': 20828, 'limit': 48102, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 29929, 'original_amount': 90625, 'status': 'Late 30 days'}]",2,[]
APP-2024-0090,797,Very Good,49875,3507.1871830761056,39,75,"[{'type': 'Credit Card', 'balance': 17963, 'limit': 42596, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 50820, 'original_amount': 92000, 'status': 'Current'}]",4,[]
APP-2024-0091,710,Good,190250,11010.009052147549,54,74,"[{'type': 'Credit Card', 'balance': 13912, 'limit': 46725, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 25333, 'original_amount': 63795, 'status': 'Late 30 days'}]",4,[]
APP-2024-0092,536,Poor,196743,5373.778646833198,66,99,"[{'type': 'Credit Card', 'balance': 6225, 'limit': 19270, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 60564, 'original_amount': 96976, 'status': 'Current'}]",2,"[{'amount': 8045, 'date': '2023-03-15'}]"
APP-2024-0093,649,Poor,44482,3556.9858500484493,27,96,"[{'type': 'Credit Card', 'balance': 7233, 'limit': 36478, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 59692, 'original_amount': 94436, 'status': 'Current'}]",3,[]
APP-2024-0094,650,Fair,1803,94.8791678374066,70,73,"[{'type': 'Credit Card', 'balance': 7154, 'limit': 20787, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 34540, 'original_amount': 78967, 'status': 'Current'}]",4,[]
APP-2024-0095,781,Very Good,97550,6582.034902762983,43,75,"[{'type': 'Credit Card', 'balance': 14496, 'limit': 20428, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 35668, 'original_amount': 62656, 'status': 'Current'}]",2,[]
APP-2024-0096,550,Poor,36962,1717.9921080315285,18,91,"[{'type': 'Credit Card', 'balance': 8997, 'limit': 18094, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 13350, 'original_amount': 96895, 'status': 'Late 30 days'}]",1,"[{'amount': 17800, 'date': '2023-03-15'}]"
APP-2024-0097,625,Poor,33352,1736.7479544619325,39,96,"[{'type': 'Credit Card', 'balance': 23734, 'limit': 44511, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 9147, 'original_amount': 93803, 'status': 'Current'}]",0,[]
APP-2024-0098,578,Poor,124284,6169.054679588872,33,98,"[{'type': 'Credit Card', 'balance': 22100, 'limit': 22798, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 19232, 'original_amount': 52001, 'status': 'Late 30 days'}]",4,"[{'amount': 6447, 'date': '2023-03-15'}]"
APP-2024-0099,546,Poor,70266,2918.5913993808736,35,76,"[{'type': 'Credit Card', 'balance': 11212, 'limit': 49292, 'status': 'Late 30 days'}, {'type': 'Personal Loan', 'balance': 68995, 'original_amount': 72202, 'status': 'Current'}]",1,"[{'amount': 23016, 'date': '2023-03-15'}]"
APP-2024-0100,742,Good,115274,5254.53500730686,65,81,"[{'type': 'Credit Card', 'balance': 5816, 'limit': 28340, 'status': 'Current'}, {'type': 'Personal Loan', 'balance': 55733, 'original_amount': 76428, 'status': 'Current'}]",4,[]
